timestamp,pair,side,quantity,price,value,commission
2026-03-01 00:00:00+00:00,TRX/USD,BUY,43815.73961926175,0.2818,12347.275424707961,1.2347275424707962
2026-03-01 01:00:00+00:00,TRX/USD,SELL,8763.147923852352,0.2829,2479.09454765783,0.247909454765783
2026-03-01 01:00:00+00:00,TRX/USD,SELL,35052.5916954094,0.2829,9916.378190631318,0.9916378190631319
2026-03-01 02:00:00+00:00,TRX/USD,BUY,42263.66152532237,0.2822,11926.805282445974,1.1926805282445974
2026-03-01 03:00:00+00:00,TRX/USD,SELL,8452.732305064475,0.2821,2384.5157832586888,0.23845157832586888
2026-03-01 03:00:00+00:00,TRX/USD,SELL,33810.929220257894,0.2821,9538.063133034753,0.9538063133034753
2026-03-01 04:00:00+00:00,TRX/USD,BUY,42243.86296714072,0.2822,11921.218129327111,1.1921218129327111
2026-03-01 05:00:00+00:00,TRX/USD,SELL,8448.772593428144,0.2823,2385.088503124765,0.2385088503124765
2026-03-01 05:00:00+00:00,TRX/USD,SELL,33795.09037371258,0.2823,9540.35401249906,0.954035401249906
2026-03-01 06:00:00+00:00,TRX/USD,BUY,42943.02448800342,0.2821,12114.227208065766,1.2114227208065766
2026-03-01 07:00:00+00:00,TRX/USD,SELL,8588.604897600684,0.2817,2419.4099996541127,0.24194099996541127
2026-03-01 07:00:00+00:00,TRX/USD,SELL,34354.41959040274,0.2817,9677.63999861645,0.9677639998616451
2026-03-01 08:00:00+00:00,BNB/USD,BUY,5.419504107509383,620.15,3360.9054722719434,0.33609054722719434
2026-03-01 08:00:00+00:00,TRX/USD,BUY,42686.498546954026,0.2814,12011.980691112862,1.2011980691112862
2026-03-01 09:00:00+00:00,TRX/USD,SELL,8537.299709390805,0.2811,2399.8349483097554,0.23998349483097556
2026-03-01 09:00:00+00:00,TRX/USD,SELL,34149.19883756322,0.2811,9599.339793239022,0.9599339793239022
2026-03-01 10:00:00+00:00,TRX/USD,BUY,45053.37690097843,0.2811,12664.504246865037,1.2664504246865038
2026-03-01 11:00:00+00:00,TRX/USD,SELL,9010.675380195686,0.2811,2532.9008493730075,0.25329008493730076
2026-03-01 11:00:00+00:00,TRX/USD,SELL,36042.70152078274,0.2811,10131.60339749203,1.013160339749203
2026-03-01 12:00:00+00:00,TRX/USD,BUY,47157.965417931126,0.2808,13241.95668935506,1.324195668935506
2026-03-01 13:00:00+00:00,TRX/USD,SELL,9431.593083586225,0.282,2659.7092495713155,0.26597092495713154
2026-03-01 13:00:00+00:00,TRX/USD,SELL,37726.3723343449,0.282,10638.836998285262,1.0638836998285262
2026-03-01 14:00:00+00:00,TRX/USD,BUY,48566.15895722637,0.2816,13676.230362354947,1.3676230362354949
2026-03-01 15:00:00+00:00,TRX/USD,SELL,9713.231791445274,0.2816,2735.2460724709895,0.273524607247099
2026-03-01 15:00:00+00:00,TRX/USD,SELL,38852.9271657811,0.2816,10940.984289883958,1.094098428988396
2026-03-01 16:00:00+00:00,TRX/USD,BUY,45737.866630092874,0.2814,12870.635669708134,1.2870635669708135
2026-03-01 17:00:00+00:00,TRX/USD,SELL,9147.573326018575,0.2812,2572.2976192764236,0.25722976192764235
2026-03-01 17:00:00+00:00,TRX/USD,SELL,36590.2933040743,0.2812,10289.190477105694,1.0289190477105694
2026-03-01 18:00:00+00:00,TRX/USD,BUY,46272.994910317306,0.2813,13016.593468272258,1.301659346827226
2026-03-01 19:00:00+00:00,TRX/USD,SELL,9254.598982063462,0.2807,2597.7659342652137,0.2597765934265214
2026-03-01 19:00:00+00:00,TRX/USD,SELL,37018.39592825384,0.2807,10391.063737060853,1.0391063737060853
2026-03-01 20:00:00+00:00,BNB/USD,SELL,1.0839008215018766,612.53,663.9217701945445,0.06639217701945445
2026-03-01 20:00:00+00:00,BNB/USD,SELL,4.335603286007506,612.53,2655.687080778178,0.2655687080778178
2026-03-01 20:00:00+00:00,TRX/USD,BUY,49944.9971819461,0.2803,13999.582710099492,1.3999582710099492
2026-03-01 21:00:00+00:00,TRX/USD,SELL,9988.99943638922,0.2803,2799.9165420198983,0.27999165420198985
2026-03-01 21:00:00+00:00,TRX/USD,SELL,39955.99774555688,0.2803,11199.666168079593,1.1199666168079594
2026-03-01 22:00:00+00:00,TRX/USD,BUY,49115.46698622041,0.2805,13776.888489634826,1.3776888489634826
2026-03-01 22:00:00+00:00,BNB/USD,BUY,5.835633104610583,615.32,3590.781761928984,0.3590781761928984
2026-03-01 23:00:00+00:00,TRX/USD,SELL,9823.093397244082,0.2807,2757.342316606414,0.2757342316606414
2026-03-01 23:00:00+00:00,TRX/USD,SELL,39292.37358897633,0.2807,11029.369266425656,1.1029369266425657
2026-03-02 00:00:00+00:00,TRX/USD,BUY,35783.26993883931,0.281,10055.098852813846,1.0055098852813846
